ID	CATEGORY	CONTEXT	ENGLISH_SOURCE	RUSSIAN_EFFECTIVE	ORIGIN
SF-RU-0001	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Map	КАРТА	proofread common catalogue
SF-RU-0002	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Objectives	ЦЕЛИ	proofread common catalogue
SF-RU-0003	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Parameters	УСЛОВИЯ	proofread common catalogue
SF-RU-0004	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Briefing	БРИФИНГ	proofread common catalogue
SF-RU-0005	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Weapons	ОРУЖИЕ	proofread common catalogue
SF-RU-0006	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Options	НАСТРОЙКИ	proofread common catalogue
SF-RU-0007	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Cheats	ЧИТЫ	proofread common catalogue
SF-RU-0008	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	All Weapons + Infinite Ammo	ВСЁ ОРУЖИЕ + БЕСК. ПАТРОНЫ	proofread common catalogue
SF-RU-0009	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Hard Mode	ВЫСОКАЯ СЛОЖНОСТЬ	proofread common catalogue
SF-RU-0010	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	One-Shot Kills	УБИЙСТВО С ОДНОГО ВЫСТРЕЛА	proofread common catalogue
SF-RU-0011	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Stage Select	ВЫБОР МИССИЙ	proofread common catalogue
SF-RU-0012	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Weak Enemies	ОСЛАБЛЕННЫЕ ВРАГИ	proofread common catalogue
SF-RU-0013	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Movie Theater	КИНОТЕАТР	proofread common catalogue
SF-RU-0014	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Retail Codes	КОДЫ ОРИГИНАЛА	proofread common catalogue
SF-RU-0015	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	On	ВКЛ	proofread common catalogue
SF-RU-0016	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Off	ВЫКЛ	proofread common catalogue
SF-RU-0017	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	%x toggle	%x ПЕРЕКЛЮЧИТЬ	proofread common catalogue
SF-RU-0018	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Restart Mission	НАЧАТЬ ЗАНОВО	proofread common catalogue
SF-RU-0019	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Restart At Last Checkpoint	С КОНТРОЛЬНОЙ ТОЧКИ	proofread common catalogue
SF-RU-0020	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Quit Game	ВЫЙТИ ИЗ ИГРЫ	proofread common catalogue
SF-RU-0021	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Select Mission	ВЫБОР МИССИИ	proofread common catalogue
SF-RU-0022	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Sound	ЗВУК	proofread common catalogue
SF-RU-0023	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Game Brightness	ЯРКОСТЬ ИГРЫ	proofread common catalogue
SF-RU-0024	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Screen Centering	ПОЛОЖЕНИЕ ЭКРАНА	proofread common catalogue
SF-RU-0025	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Controller	УПРАВЛЕНИЕ	proofread common catalogue
SF-RU-0026	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Controller Configuration:	НАСТРОЙКА УПРАВЛЕНИЯ:	proofread common catalogue
SF-RU-0027	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Controller Configuration	НАСТРОЙКА УПРАВЛЕНИЯ	proofread common catalogue
SF-RU-0028	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Reset	СБРОСИТЬ	proofread common catalogue
SF-RU-0029	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Accept	ПРИНЯТЬ	proofread common catalogue
SF-RU-0030	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Cancel	ОТМЕНИТЬ	proofread common catalogue
SF-RU-0031	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Load Game	ЗАГРУЗИТЬ ИГРУ	proofread common catalogue
SF-RU-0032	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Slot	ЯЧЕЙКА	proofread common catalogue
SF-RU-0033	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Empty	ПУСТО	proofread common catalogue
SF-RU-0034	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Back	НАЗАД	proofread common catalogue
SF-RU-0035	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Mission Complete	МИССИЯ ВЫПОЛНЕНА	proofread common catalogue
SF-RU-0036	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	MISSION COMPLETE	МИССИЯ ВЫПОЛНЕНА	proofread common catalogue
SF-RU-0037	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Campaign Complete	КАМПАНИЯ ЗАВЕРШЕНА	proofread common catalogue
SF-RU-0038	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	CAMPAIGN COMPLETE	КАМПАНИЯ ЗАВЕРШЕНА	proofread common catalogue
SF-RU-0039	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Campaign Completed	КАМПАНИЯ ЗАВЕРШЕНА	proofread common catalogue
SF-RU-0040	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	CAMPAIGN COMPLETED	КАМПАНИЯ ЗАВЕРШЕНА	proofread common catalogue
SF-RU-0041	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Campaing Complete	КАМПАНИЯ ЗАВЕРШЕНА	proofread common catalogue
SF-RU-0042	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	CAMPAING COMPLETE	КАМПАНИЯ ЗАВЕРШЕНА	proofread common catalogue
SF-RU-0043	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Campaing Completed	КАМПАНИЯ ЗАВЕРШЕНА	proofread common catalogue
SF-RU-0044	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	CAMPAING COMPLETED	КАМПАНИЯ ЗАВЕРШЕНА	proofread common catalogue
SF-RU-0045	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Save Mission?	СОХРАНИТЬ ПРОГРЕСС?	proofread common catalogue
SF-RU-0046	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Yes	ДА	proofread common catalogue
SF-RU-0047	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	No	НЕТ	proofread common catalogue
SF-RU-0048	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Memory Card	КАРТА ПАМЯТИ	proofread common catalogue
SF-RU-0049	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Choose a save slot	ВЫБЕРИТЕ ЯЧЕЙКУ СОХРАНЕНИЯ	proofread common catalogue
SF-RU-0050	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Choose slot to use	ВЫБЕРИТЕ ЯЧЕЙКУ	proofread common catalogue
SF-RU-0051	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	--- Empty Slot ---	--- ПУСТАЯ ЯЧЕЙКА ---	proofread common catalogue
SF-RU-0052	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Reading save data	ЧТЕНИЕ СОХРАНЕНИЙ	proofread common catalogue
SF-RU-0053	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Invalid	НЕДОСТУПНО	proofread common catalogue
SF-RU-0054	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Current Location	МЕСТОПОЛОЖЕНИЕ	proofread common catalogue
SF-RU-0055	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Press %x to continue	НАЖМИТЕ %x, ЧТОБЫ ПРОДОЛЖИТЬ	proofread common catalogue
SF-RU-0056	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	%t exit menu	%t ВЫЙТИ ИЗ МЕНЮ	proofread common catalogue
SF-RU-0057	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	%t cancel	%t ОТМЕНИТЬ	proofread common catalogue
SF-RU-0058	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	%t back	%t НАЗАД	proofread common catalogue
SF-RU-0059	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	%t resume	%t ПРОДОЛЖИТЬ	proofread common catalogue
SF-RU-0060	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	%t close	%t ЗАКРЫТЬ	proofread common catalogue
SF-RU-0061	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	%x load	%x ЗАГРУЗИТЬ	proofread common catalogue
